id,source_folder,source_relative_path,remote_path,web_path,file_name,display_name,extension,size_bytes,mtime
31,东吴证券,东吴证券/20220817-东吴证券-金工专题报告：成交价改进换手率因子.pdf,/mnt/research/研报/东吴证券/20220817-东吴证券-金工专题报告：成交价改进换手率因子.pdf,reports/东吴证券/20220817-东吴证券-金工专题报告：成交价改进换手率因子.pdf,20220817-东吴证券-金工专题报告：成交价改进换手率因子.pdf,20220817-东吴证券-金工专题报告：成交价改进换手率因子,pdf,1760420,2026-04-11T17:13:09.405797+00:00
32,东吴证券,东吴证券/20221011-东吴证券-“技术分析拥抱选股因子”系列研究（十一）：新价量相关性RPV选股因子，相关性是价量配合最好的尺.pdf,/mnt/research/研报/东吴证券/20221011-东吴证券-“技术分析拥抱选股因子”系列研究（十一）：新价量相关性RPV选股因子，相关性是价量配合最好的尺.pdf,reports/东吴证券/20221011-东吴证券-“技术分析拥抱选股因子”系列研究（十一）：新价量相关性RPV选股因子，相关性是价量配合最好的尺.pdf,20221011-东吴证券-“技术分析拥抱选股因子”系列研究（十一）：新价量相关性RPV选股因子，相关性是价量配合最好的尺.pdf,20221011-东吴证券-“技术分析拥抱选股因子”系列研究（十一）：新价量相关性RPV选股因子，相关性是价量配合最好的尺,pdf,1139700,2026-04-11T17:13:05.252797+00:00
33,东吴证券,东吴证券/20230504-东吴证券-“技术分析拥抱选股因子”系列研究（十二）：优加换手率UTR选股因子2.0.pdf,/mnt/research/研报/东吴证券/20230504-东吴证券-“技术分析拥抱选股因子”系列研究（十二）：优加换手率UTR选股因子2.0.pdf,reports/东吴证券/20230504-东吴证券-“技术分析拥抱选股因子”系列研究（十二）：优加换手率UTR选股因子2.0.pdf,20230504-东吴证券-“技术分析拥抱选股因子”系列研究（十二）：优加换手率UTR选股因子2.0.pdf,20230504-东吴证券-“技术分析拥抱选股因子”系列研究（十二）：优加换手率UTR选股因子2.0,pdf,973922,2026-04-11T17:13:02.294797+00:00
34,东吴证券,东吴证券/20230612-东吴证券-“求索动量因子”系列研究（五）：成交量对动量因子的修正，殊途同归的聪明版.pdf,/mnt/research/研报/东吴证券/20230612-东吴证券-“求索动量因子”系列研究（五）：成交量对动量因子的修正，殊途同归的聪明版.pdf,reports/东吴证券/20230612-东吴证券-“求索动量因子”系列研究（五）：成交量对动量因子的修正，殊途同归的聪明版.pdf,20230612-东吴证券-“求索动量因子”系列研究（五）：成交量对动量因子的修正，殊途同归的聪明版.pdf,20230612-东吴证券-“求索动量因子”系列研究（五）：成交量对动量因子的修正，殊途同归的聪明版,pdf,1005074,2026-04-11T17:12:59.243798+00:00
35,东吴证券,东吴证券/20230703-东吴证券-“求索动量因子”系列研究（四）：反应不足or反应过度？从信息分布到动量反转.pdf,/mnt/research/研报/东吴证券/20230703-东吴证券-“求索动量因子”系列研究（四）：反应不足or反应过度？从信息分布到动量反转.pdf,reports/东吴证券/20230703-东吴证券-“求索动量因子”系列研究（四）：反应不足or反应过度？从信息分布到动量反转.pdf,20230703-东吴证券-“求索动量因子”系列研究（四）：反应不足or反应过度？从信息分布到动量反转.pdf,20230703-东吴证券-“求索动量因子”系列研究（四）：反应不足or反应过度？从信息分布到动量反转,pdf,647569,2026-04-11T17:12:56.270798+00:00
36,东吴证券,东吴证券/20230724-东吴证券-金工专题报告：寻找特质波动率中的纯真信息，剔除跨期截面相关性的纯真波动率因子.pdf,/mnt/research/研报/东吴证券/20230724-东吴证券-金工专题报告：寻找特质波动率中的纯真信息，剔除跨期截面相关性的纯真波动率因子.pdf,reports/东吴证券/20230724-东吴证券-金工专题报告：寻找特质波动率中的纯真信息，剔除跨期截面相关性的纯真波动率因子.pdf,20230724-东吴证券-金工专题报告：寻找特质波动率中的纯真信息，剔除跨期截面相关性的纯真波动率因子.pdf,20230724-东吴证券-金工专题报告：寻找特质波动率中的纯真信息，剔除跨期截面相关性的纯真波动率因子,pdf,749290,2026-04-11T17:12:54.458798+00:00
37,东吴证券,东吴证券/20230927-东吴证券-“技术分析拥抱选股因子”系列研究（十四）：RPV聪明版-聪明换手率是更好的配料.pdf,/mnt/research/研报/东吴证券/20230927-东吴证券-“技术分析拥抱选股因子”系列研究（十四）：RPV聪明版-聪明换手率是更好的配料.pdf,reports/东吴证券/20230927-东吴证券-“技术分析拥抱选股因子”系列研究（十四）：RPV聪明版-聪明换手率是更好的配料.pdf,20230927-东吴证券-“技术分析拥抱选股因子”系列研究（十四）：RPV聪明版-聪明换手率是更好的配料.pdf,20230927-东吴证券-“技术分析拥抱选股因子”系列研究（十四）：RPV聪明版-聪明换手率是更好的配料,pdf,980385,2026-04-11T17:12:52.133798+00:00
38,东吴证券,东吴证券/20231108-东吴证券-“波动率选股因子”系列研究（二）：信息分布均匀度，基于高频波动率的选股因子.pdf,/mnt/research/研报/东吴证券/20231108-东吴证券-“波动率选股因子”系列研究（二）：信息分布均匀度，基于高频波动率的选股因子.pdf,reports/东吴证券/20231108-东吴证券-“波动率选股因子”系列研究（二）：信息分布均匀度，基于高频波动率的选股因子.pdf,20231108-东吴证券-“波动率选股因子”系列研究（二）：信息分布均匀度，基于高频波动率的选股因子.pdf,20231108-东吴证券-“波动率选股因子”系列研究（二）：信息分布均匀度，基于高频波动率的选股因子,pdf,626336,2026-04-11T17:12:49.609798+00:00
39,东吴证券,东吴证券/20240109-东吴证券-技术分析拥抱选股因子”系列（十五）：换手率切割刀CTR因子Cutlets of TurnoverRate，换手率的异质信念.pdf,/mnt/research/研报/东吴证券/20240109-东吴证券-技术分析拥抱选股因子”系列（十五）：换手率切割刀CTR因子Cutlets of TurnoverRate，换手率的异质信念.pdf,reports/东吴证券/20240109-东吴证券-技术分析拥抱选股因子”系列（十五）：换手率切割刀CTR因子Cutlets of TurnoverRate，换手率的异质信念.pdf,20240109-东吴证券-技术分析拥抱选股因子”系列（十五）：换手率切割刀CTR因子Cutlets of TurnoverRate，换手率的异质信念.pdf,20240109-东吴证券-技术分析拥抱选股因子”系列（十五）：换手率切割刀CTR因子Cutlets of TurnoverRate，换手率的异质信念,pdf,1941154,2026-04-11T17:12:48.109798+00:00
40,东方证券,东方证券/20100201-东方证券-数量化策略：一致预期指标选股系列报告.pdf,/mnt/research/研报/东方证券/20100201-东方证券-数量化策略：一致预期指标选股系列报告.pdf,reports/东方证券/20100201-东方证券-数量化策略：一致预期指标选股系列报告.pdf,20100201-东方证券-数量化策略：一致预期指标选股系列报告.pdf,20100201-东方证券-数量化策略：一致预期指标选股系列报告,pdf,762653,2026-04-11T17:12:42.992799+00:00
41,东方证券,"东方证券/20100407-东方证券-估值成为焦点,盈利增长持续抢眼：4月份一致预期选股策略跟踪及展望.pdf","/mnt/research/研报/东方证券/20100407-东方证券-估值成为焦点,盈利增长持续抢眼：4月份一致预期选股策略跟踪及展望.pdf","reports/东方证券/20100407-东方证券-估值成为焦点,盈利增长持续抢眼：4月份一致预期选股策略跟踪及展望.pdf","20100407-东方证券-估值成为焦点,盈利增长持续抢眼：4月份一致预期选股策略跟踪及展望.pdf","20100407-东方证券-估值成为焦点,盈利增长持续抢眼：4月份一致预期选股策略跟踪及展望",pdf,496401,2026-04-11T17:12:41.407799+00:00
